Organization A,Organization B,Connection,Source(s)
4 SHADOW TREE LANE MEMBER CORP.,4 SHADOW TREE LANE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
40 WALL DEVELOPMENT ASSOCIATES LLC,40 WALL STREET LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
40 WALL STREET LLC,40 WALL STREET COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
40 WALL STREET MEMBER CORP.,40 WALL STREET LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 MEZZ VENTURE LLC,401 NORTH WABASH VENTURE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 MEZZ VENTURE LLC,TRUMP CHICAGO RETAIL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 NORTH WABASH VENTURE LLC,TRUMP COMMERCIAL CHICAGO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
401 NORTH WABASH VENTURE LLC,TRUMP PAYROLL CHICAGO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
809 NORTH CANON MEMBER CORPORATION,809 NORTH CANON LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ABERDEEN ASSET MANAGEMENT,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
ACADEMI,"XE SERVICES, LLC",NKA/FKA,https://www.washingtonpost.com/blogs/checkpoint-washington/post/ex-blackwater-firm-gets-a-name-change-again/2011/12/12/gIQAXf4YpO_blog.html?utm_term=.bd28e9699633
ACE ENTERTAINMENT HOLDINGS INC,TRUMP CASINOS INC.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
ACE ENTERTAINMENT HOLDINGS INC,TRUMP TAJ MAHAL INC.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"ADVISORS ASSET MANAGEMENT, INC.",40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
AETOS SA,TRUMP MARKS PUNTA DEL ESTE LLC,"Licenses ""Trump"" name for Trump Tower Punta del Este",http://www.trump.com/real-estate-portfolio/uruguay/trump-tower-punta-del-este/ | https://www.multihousingnews.com/post/100m-residential-trump-project-launched-in-uruguay-2/
ALLIANCEBERNSTEIN LP,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
ALTEGRIS,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
ALTICOR,AMWAY,Subsidiary,http://www.alticor.com/FAQs.aspx
AMBOY BANK,TRUMP NATIONAL GOLF CLUB COLTS NECK LLC,Mortgage,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
AMERICAN INTERNATIONAL GROUP INC.,AIG GLOBAL REAL ESTATE INVESTMENT CORP.,Subsidiary,http://www.aig.com/aig-global-real-estate
AMERICAN INTERNATIONAL GROUP INC.,VALIC,Subsidiary,https://www.valic.com/about-valic
AMG FUNDS,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
ANBANG INSURANCE GROUP,KUSHNER COMPANIES,"""Anbang would become one of the equity partners in the [666 Fifth Avenue] redevelopment if an agreement is finalized,"" per New York Times",http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
ANGEL OAK CAPITAL ADVISORS,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
ASSETMARK,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
AUGUST ERNST,H. PIXEL INTERNATIONAL,Worked together to make a version of Trump Vodka for the Israeli market,http://www.jpost.com/Not-Just-News/Podcast/Exclusive-Some-Trump-Vodka-popular-as-kosher-for-Passover-spirit-may-not-be-kosher-450568
AXA,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
BAIN & COMPANY,THAYER AEROSPACE AND PRIVATE SECURITY,Investor,https://web.archive.org/web/20140516023111/http://www.bizjournals.com/wichita/stories/1998/12/14/story3.html
BANK HAPOALIM,KUSHNER COMPANIES,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
BANK OF AMERICA,MERRILL LYNCH CREDIT CORPORATION,Subsidiary,http://www.merrillhomeloans.com/mlhl/pages/home.aspx
BANK OF CHINA,"1293 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",Loaned money,http://www.wsj.com/articles/trump-debts-are-widely-held-on-wall-street-creating-new-potential-conflicts-1483637414
BANNON & CO.,CASTLE ROCK ENTERTAINMENT,Negotiated sale,https://qz.com/841601/steve-bannon-made-his-money-from-seinfeld-reruns/
BAYROCK GROUP,FL GROUP,Bayrock received $50 million in financing from FL in 2007,https://www.ft.com/content/549ddfaa-5fa5-11e6-b38c-7b39cbb1138a
BAYROCK GROUP,SWISS DEVELOPMENT GROUP,"Bayrock was ""one of the backers of the redevelopment of the 101-year-old Hotel du Parc on the shores of Lake Geneva, owned by Swiss Development Group,"" per the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
BAYROCK/SAPIR ORGANIZATION LLC,BAYROCK GROUP,Co-owner,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
BAYROCK/SAPIR ORGANIZATION LLC,SAPIR ORGANIZATION,Co-owner,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
BEDFORD HILLS CORP.,SEVEN SPRINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
BLACKROCK,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
BNY MELLON,FIFTY-SEVENTH STREET ASSOCIATES LLC,Loan,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
BRACEWELL,"BRACEWELL & GIULIANI, LLP",NKA/FKA,http://blogs.wsj.com/law/2016/01/19/bracewell-giuliani-is-losing-giuliani/
"BRIARCLIFF PROPERTIES, INC.",TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
BURSON-MARSTELLER,"BLACK, MANAFORT, STONE AND KELLY",Bought firm,https://www.washingtonpost.com/news/powerpost/wp/2016/04/07/from-ukraine-to-trump-tower-paul-manafort-unafraid-to-take-on-controversial-jobs/?utm_term=.86b3fa6dfbe1
C DEVELOPMENT VENTURES MEMBER CORP.,C DEVELOPMENT VENTURES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
CARDINAL INVESTMENT COMPANY,CIC PARTNERS,NKA/FKA,http://www.cicpartners.com/investment-team.php
CARDINAL INVESTMENT COMPANY,THAYER AEROSPACE AND PRIVATE SECURITY,Investor,https://web.archive.org/web/20140516023111/http://www.bizjournals.com/wichita/stories/1998/12/14/story3.html
CARIBUSINESS MRE LLC,"CARIBUSINESS INVESTMENTS, S.R.L.",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
CARLYLE GROUP,KUSHNER COMPANIES,Investor,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
"CHEVY CHASE TRUST HOLDINGS, INC.",TRUMP NATIONAL GOLF CLUB WASHINGTON DC LLC,Mortgage,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
CHICAGO UNIT ACQUISITION LLC,401 NORTH WABASH VENTURE LLC,"""springing loan""",https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
CIM GROUP,BAYROCK/SAPIR ORGANIZATION LLC,CIM bought Trump SoHo from Bayrock/Sapir in foreclosure auction,https://www.ft.com/content/549ddfaa-5fa5-11e6-b38c-7b39cbb1138a
CIM GROUP,KUSHNER COMPANIES,Real-estate partner,http://www.cimgroup.com/our-firm/press-releases/2016/25-30-columbia-heights-acquisition
"CIT GROUP, INC.",FINANCIAL FREEDOM,Subsidiary,https://www.muckrock.com/news/archives/2017/jan/02/steven-mnuchin-trump-relativity-media/
"CIT GROUP, INC.","ONEWEST BANK, FSB",Ownership,https://variety.com/2015/biz/news/relativity-steve-mnuchin-co-chairman-1201557256/
CIVIL DEFENSE SOLUTIONS,CDS LLC,AKA,https://www.linkedin.com/in/tom-bossert-60543b11
"COLONY CAPITAL, INC.","COLONY NORTHSTAR, INC.",Part of tri-merger to form Colony NorthStar,http://colonyinc.com/about#t3-mainbody
"COLONY NORTHSTAR, INC.",COLONY AMERICAN FINANCE,Subsidiary,http://colonyinc.com/what-we-do
"COLONY NORTHSTAR, INC.",NORTHSTAR REALTY EUROPE,Subsidiary,http://colonyinc.com/what-we-do
"COLONY NORTHSTAR, INC.","NORTHSTAR SECURITIES, LLC",Subsidiary,http://colonyinc.com/what-we-do
"CPW PT PARTNERS, G.P.",ONE CENTRAL PARK WEST PT ASSOCIATES,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
CUE,GREPLIN,NKA/FKA,https://techcrunch.com/2013/10/02/cue-greplin/
D B PACE ACQUISITION MEMBER CORP.,"D B PACE ACQUISITION, LLC",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"D B PACE ACQUISITION, LLC",TITAN ATLAS MANUFACTURING,Took over loans from,https://www.nytimes.com/2016/12/21/business/north-charleston-donald-trump.html?_r=0
DAEWOO AMERICA DEVELOPMENT (NEW YORK) CORP.,TRUMP KOREA LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"DAVIS MANAFORT, INC.",PERICLES EMERGING MARKET MANAGERS L.P.,Davis Manafort served as advisor to the manager,https://assets.documentcloud.org/documents/2814130/Pericles-Winding-Up-Petition.pdf
