Person A,Person B,Connection,Source(s)
ALEXANDER NIX,BRAD PARSCALE,"Pascale says he hired Nix's company, Cambridge Analytica, to work on the campaign",https://www.washingtonpost.com/politics/trumps-plan-for-a-comeback-includes-building-a-psychographic-profile-of-every-voter/2016/10/27/9064a706-9611-11e6-9b7c-57290af48a49_story.html?utm_term=.ec091285ddc0
ALLEN WEISSELBERG,JACK WEISSELBERG,Parent/child,https://www.nytimes.com/2016/05/24/business/dealbook/donald-trump-relationship-bankers.html?_r=0
ANDREW BREMBERG,MIKE FERGUSON,"Bremberg ""is a lifelong friend"" of Ferguson, a former U.S. House representative, per Stat",https://www.statnews.com/2016/11/15/trump-influencers-health-care/
ANDREW BREMBERG,MITCH MCCONNELL,Policy advisor and counsel on nominations,https://www.linkedin.com/in/andrew-bremberg-7170938
ANDREW BREMBERG,SCOTT WALKER,Policy director for Walker's campaign,http://www.modernhealthcare.com/article/20161111/NEWS/161119989?utm_source=modernhealthcare&utm_medium=email&utm_content=20161111-NEWS-161119989&utm_campaign=mh-alert
ANDY PUZDER,WILLIAM P. FOLEY,"Worked together on deal to turn around debts of Carl's Jr. founder, which was a major success in Puzder's career",http://www.insidesources.com/meet-the-fast-food-ceo-trump-picked-as-labor-secretary/
AVRAM LEBOR,JARED KUSHNER,Kushner hired him for his real estate company,https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
BEN CARSON,BARRY BENNETT,Bennet was Carson's presidential campaign manager,https://www.washingtonpost.com/news/post-politics/wp/2016/01/22/former-carson-campaign-manager-barry-bennett-is-quietly-advising-trumps-top-aides/?utm_term=.795d808dc8d2
BILL STEPIEN,KEVIN MARINO,Marino served as Stepien's attorney during the Bridgegate trial,http://www.politico.com/story/2017/01/bill-stepien-donald-trump-christie-233199
CARTER PAGE,DONALD J. TRUMP,Foreign policy adviser,General knowledge
CHARLES KUSHNER,ALAN HAMMER,"""has long worked with"" Kushner, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,DARA ORBACH,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
CHARLES KUSHNER,ESTHER KUSHNER,Siblings,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,JIM MCGREEVEY,"""the financial force"" behind the former governor's campaign, per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,MURRAY KUSHNER,Siblings,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
CHARLES KUSHNER,NICOLE KUSHNER MEYER,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
CHARLES KUSHNER,SERYL KUSHNER,Married,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
CHRIS CHRISTIE,BILL STEPIEN,Former deputy chief of staff,http://www.politico.com/story/2017/01/bill-stepien-donald-trump-christie-233199
CHRIS CHRISTIE,DAVID WILDSTEIN,"Christie and Wildstein went to high school together, and Christie appointed Wildstein to a director position at the Port Authority",http://nymag.com/daily/intelligencer/2016/09/david-wildstein-chris-christie-bridgegate-trial.html
DANIEL RIDLOFF,ELVIRA KUDRYASHOVA,"Ridloff ""agreed to serve as [a director] of a company through which [Kudryashova] would pour $3m into a business venture as part of her efforts to secure a US investor visa,"" per the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
DAVID S. CORDISH,REED S. CORDISH,Parent/child,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
DONALD J. TRUMP,AJIT PAI,Appointed chairman of the Federal Communications Commission,http://www.usatoday.com/story/tech/news/2017/01/23/new-fcc-chairman-ajit-pai-no-net-neutrality-fan/96967372/
DONALD J. TRUMP,ALEX SHNAIDER,"""Trump’s primary partner for his lucrative business in Canada,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
DONALD J. TRUMP,ALEXANDER NIX,Worked on presidential campaign. May continue work for the administration.,https://www.theguardian.com/us-news/2016/nov/23/donald-trump-cambridge-analytica-steve-bannon
DONALD J. TRUMP,ANDREW BREMBERG,Domestic policy advisor,General knowledge
